,city,humidity,cloudiness,windspeed,long,lat,temp,max_temp
0,tasiilaq,86,100,10.8,-37.64,65.61,30.2,30.2
1,harper,86,66,2.18,-7.72,4.38,78.42200000000004,78.42200000000004
2,ushuaia,81,75,17.0,-68.3,-54.8,50.0,50.0
3,kodiak,63,75,6.7,-152.41,57.79,30.2,30.2
4,hilo,69,75,2.6,-155.09,19.73,72.51800000000009,75.99199999999999
5,vestmannaeyjar,76,100,10.55,-20.27,63.44,44.20400000000005,44.20400000000005
6,khatanga,98,100,2.32,102.5,71.97,-22.917999999999985,-22.917999999999985
7,fortuna,71,1,2.1,-124.16,40.6,52.37600000000009,55.004000000000055
8,hvide sande,100,38,1.5,8.13,56.0,39.056000000000026,42.998000000000026
9,avarua,88,100,4.6,-159.78,-21.21,80.6,80.6
10,touros,66,20,6.2,-35.46,-5.2,84.2,84.2
11,yumen,82,0,4.09,97.2,40.28,12.182000000000016,12.182000000000016
12,hongjiang,75,100,0.7,110.0,27.11,43.483999999999995,43.483999999999995
13,mayo,44,40,6.2,-76.51,38.89,37.61600000000001,41.0
14,ingham,79,90,2.6,-84.38,42.6,20.426000000000087,23.0
15,viransehir,86,100,5.78,39.76,37.24,45.518000000000086,45.518000000000086
16,belawan,100,40,1.5,98.68,3.78,77.0,77.0
17,jacareacanga,68,43,1.18,-57.75,-6.22,86.45,86.45
18,lorengau,75,34,7.57,147.27,-2.02,83.48000000000005,83.48000000000005
19,bredasdorp,88,100,9.3,20.04,-34.53,63.48200000000001,64.4
20,atuona,76,1,7.01,-139.03,-9.8,80.56400000000004,80.56400000000004
21,bluff,98,100,0.45,168.33,-46.6,55.99400000000007,55.99400000000007
22,castro,78,74,1.29,-50.01,-24.79,73.61600000000001,73.61600000000001
23,poum,80,2,7.0,164.02,-20.23,78.44000000000003,78.44000000000003
24,chepareria,38,0,2.33,35.2,1.31,71.09600000000006,71.09600000000006
25,denia,83,100,11.62,0.11,38.84,48.650000000000006,51.00800000000001
26,saint-philippe,78,93,2.6,55.77,-21.36,76.04600000000005,80.6
27,namibe,85,14,3.88,12.15,-15.2,75.50600000000003,75.50600000000003
28,luderitz,88,0,5.1,15.16,-26.65,64.4,64.4
29,poronaysk,90,100,2.77,143.12,49.22,6.818000000000087,6.818000000000087
30,los llanos de aridane,72,20,4.6,-17.92,28.66,63.17600000000009,64.99400000000009
31,cape town,68,20,8.7,18.42,-33.93,67.96400000000003,69.99800000000002
32,coquimbo,68,20,6.2,-71.34,-29.95,69.80000000000001,69.80000000000001
33,chuy,58,30,3.23,-53.46,-33.7,80.88800000000005,80.88800000000005
34,gunjur,50,0,2.1,-16.73,13.2,75.2,75.2
35,sombrerete,44,21,3.83,-103.65,23.63,62.11400000000003,62.11400000000003
36,yarada,63,0,2.0,83.27,17.65,75.7760000000001,75.7760000000001
37,marawi,91,2,2.24,124.29,8.0,73.99400000000009,73.99400000000009
38,waycross,55,90,3.6,-82.35,31.21,59.75600000000003,62.99600000000005
39,talhar,32,33,2.86,68.82,24.88,56.01200000000006,56.01200000000006
40,biak,78,100,3.42,122.88,-0.91,80.88800000000005,80.88800000000005
41,jamestown,85,90,8.2,-79.24,42.1,20.408,26.6
42,kieta,77,66,1.76,155.63,-6.22,81.14000000000001,81.14000000000001
43,puerto ayora,58,75,6.7,-90.35,-0.74,82.72400000000002,86.0
44,arraial do cabo,69,40,4.1,-42.03,-22.97,78.80000000000001,78.80000000000001
45,ostrovnoy,82,0,4.91,39.51,68.05,5.468000000000085,5.468000000000085
46,henties bay,87,0,1.34,14.28,-22.12,66.00200000000008,66.00200000000008
47,faanui,80,100,5.88,-151.75,-16.48,81.1760000000001,81.1760000000001
48,hasaki,56,20,1.5,140.83,35.73,31.082000000000015,33.8
49,alugan,85,15,8.61,125.48,12.22,78.06200000000007,78.06200000000007
50,tabou,86,66,2.18,-7.35,4.42,78.42200000000004,78.42200000000004
51,mataura,98,100,0.45,168.86,-46.19,55.99400000000007,55.99400000000007
52,kamenka,89,99,1.34,42.77,51.32,28.994000000000074,28.994000000000074
53,manadhoo,79,40,6.84,73.38,5.77,82.38200000000002,82.38200000000002
54,kapaa,57,75,6.7,-159.32,22.08,74.15600000000003,75.2
55,butaritari,77,0,4.74,172.79,3.07,84.34400000000008,84.34400000000008
56,smederevska palanka,86,90,1.89,20.96,44.37,32.0,32.0
57,pacific grove,66,1,1.58,-121.92,36.62,55.38200000000002,60.00800000000001
58,san jose,66,90,1.5,-121.89,37.34,53.366000000000014,57.992
59,umm kaddadah,27,1,6.43,26.69,13.6,58.31600000000001,58.31600000000001
60,elizabeth city,47,1,5.1,-76.25,36.29,52.86200000000006,57.2
61,bhinmal,37,55,1.35,72.25,25.0,50.55800000000001,50.55800000000001
62,punta arenas,47,40,14.4,-70.92,-53.15,57.110000000000085,57.2
63,torbay,72,75,1.5,-52.73,47.67,13.928000000000065,15.008000000000003
64,kloulklubed,83,75,2.6,134.26,7.04,77.0,77.0
65,guerrero negro,21,77,2.03,-114.06,27.98,72.80600000000004,72.80600000000004
66,tautira,66,20,3.6,-149.15,-17.73,86.0,86.0
67,san juan,20,68,6.62,-68.54,-31.54,101.10200000000007,101.10200000000007
68,nikolskoye,82,90,6.0,30.79,59.7,36.30200000000008,37.4
69,hobart,72,75,4.6,147.33,-42.88,58.22600000000009,60.00800000000001
70,najran,20,0,0.73,44.13,17.49,64.4,64.4
71,new norfolk,72,75,4.6,147.06,-42.78,58.208000000000006,60.00800000000001
72,lompoc,51,75,3.42,-120.46,34.64,61.736000000000075,68.0
73,port alfred,77,100,3.13,26.89,-33.59,66.99199999999999,66.99199999999999
74,kurilsk,79,100,2.81,147.88,45.23,22.46000000000008,22.46000000000008
75,klichka,100,89,0.92,118.0,50.45,-10.515999999999956,-10.515999999999956
76,albany,55,90,9.8,-73.97,42.6,30.2,35.99600000000005
77,rikitea,78,100,5.87,-134.97,-23.12,78.11600000000001,78.11600000000001
78,scottsbluff,36,1,4.6,-103.67,41.87,43.30400000000005,44.6
79,busselton,48,0,4.44,115.33,-33.65,59.21600000000001,60.998000000000026
80,pinheiro machado,50,94,4.02,-53.38,-31.58,84.99199999999999,84.99199999999999
81,abu samrah,95,15,2.56,37.18,35.3,42.08000000000004,42.08000000000004
82,georgetown,88,40,2.1,100.34,5.41,79.57400000000001,80.6
83,grindavik,80,75,13.4,-22.43,63.84,40.15400000000005,41.0
84,vanimo,79,100,7.49,141.3,-2.67,82.54400000000007,82.54400000000007
85,hithadhoo,72,100,3.36,73.08,-0.6,82.97600000000008,82.97600000000008
86,luis correia,83,75,4.1,-41.67,-2.88,82.4,82.4
87,talnakh,75,20,3.0,88.4,69.49,-18.39999999999995,-18.39999999999995
88,guanica,66,40,10.3,-66.91,17.97,81.05000000000001,84.99199999999999
89,dikson,92,81,3.55,80.55,73.51,-24.10599999999998,-24.10599999999998
90,chifeng,50,0,6.02,118.96,42.27,11.210000000000083,11.210000000000083
91,hermanus,99,100,1.79,19.23,-34.42,65.084,69.00800000000001
92,chokurdakh,97,100,1.35,147.92,70.63,-24.73599999999997,-24.73599999999997
93,pirawa,55,0,2.21,76.03,24.16,53.096000000000046,53.096000000000046
94,zapolyarnyy,83,40,6.2,30.81,69.42,-5.799999999999947,-5.799999999999947
95,matagami,70,1,4.6,-77.63,49.75,1.3999999999999986,1.3999999999999986
96,laguna de perlas,74,40,3.1,-83.67,12.34,84.2,84.2
97,beringovskiy,97,97,4.61,179.32,63.05,1.004000000000051,1.004000000000051
98,yellowknife,75,20,6.2,-114.35,62.46,-12.99999999999995,-12.99999999999995
99,tuktoyaktuk,74,5,2.6,-133.04,69.45,-21.99999999999995,-21.99999999999995
100,llata,63,85,3.79,-76.78,-9.42,52.28600000000007,52.28600000000007
101,cidreira,80,26,10.93,-50.21,-30.18,75.29000000000002,75.29000000000002
102,lagoa,78,97,11.92,-27.98,39.05,63.08600000000007,63.08600000000007
103,east london,78,100,8.95,27.91,-33.02,66.66800000000009,66.66800000000009
104,vardo,85,64,21.1,31.11,70.37,15.440000000000019,17.6
105,dudinka,75,20,3.0,86.18,69.41,-18.39999999999995,-18.39999999999995
106,puerto berrio,39,30,0.63,-74.4,6.49,95.12600000000009,95.12600000000009
107,peniche,62,0,4.1,-9.38,39.36,53.63600000000007,55.004000000000055
108,sungaipenuh,98,64,0.8,101.38,-2.08,62.61800000000009,62.61800000000009
109,north bend,82,1,2.1,-124.22,43.41,56.768000000000086,60.998000000000026
110,ukiah,66,1,2.1,-123.21,39.15,54.320000000000064,57.992
111,aleksandrov gay,94,100,4.4,48.57,50.15,28.922000000000036,28.922000000000036
112,zyryanskoye,94,100,3.99,86.63,56.83,-2.667999999999985,-2.667999999999985
113,gull lake,64,1,7.2,-108.48,50.1,-0.39999999999994884,-0.39999999999994884
114,jumla,67,0,2.71,82.18,29.27,12.632000000000016,12.632000000000016
115,qaanaaq,56,0,3.05,-69.36,77.48,-18.633999999999943,-18.633999999999943
116,yulara,31,0,4.6,130.99,-25.24,75.2,75.2
117,fenoarivo,88,75,1.5,47.44,-18.93,68.0,68.0
118,belaya gora,94,88,1.62,146.42,68.53,-26.679999999999943,-26.679999999999943
119,viedma,28,0,8.14,-63.0,-40.81,76.91000000000008,76.91000000000008
120,upernavik,82,79,4.1,-56.15,72.79,-15.735999999999969,-15.735999999999969
121,pecangakan,89,35,1.98,109.12,-6.93,76.35200000000009,76.35200000000009
122,saint-joseph,78,51,2.6,55.62,-21.37,76.08200000000002,80.6
123,tazovskiy,97,55,4.58,78.7,67.47,-26.049999999999947,-26.049999999999947
124,vanderhoof,96,100,1.12,-124.02,54.02,32.21600000000001,32.21600000000001
125,ponta do sol,72,40,6.7,-17.1,32.67,60.944000000000074,62.6
126,mahebourg,88,40,1.5,57.7,-20.41,80.76200000000006,80.99600000000005
127,saint george,34,1,1.22,-113.58,37.1,50.018000000000086,59.0
128,lasa,73,5,2.1,10.7,46.62,19.832000000000015,37.4
129,korla,83,1,4.02,86.15,41.76,14.0,14.0
130,jalu,56,33,2.65,21.55,29.03,57.29000000000002,57.29000000000002
131,kruisfontein,83,100,10.68,24.73,-34.0,61.736000000000075,61.736000000000075
132,borogontsy,98,91,1.16,131.17,62.67,-17.445999999999948,-17.445999999999948
133,owando,77,100,0.77,15.9,-0.48,76.96400000000003,76.96400000000003
134,binga,73,97,2.22,27.34,-17.62,81.26600000000002,81.26600000000002
135,mugla,74,100,1.5,28.36,37.23,40.91000000000008,44.6
136,samarai,79,73,1.92,150.67,-10.62,78.85400000000006,78.85400000000006
137,kutum,29,0,2.91,24.67,14.2,50.684,50.684
138,ugoofaaru,79,89,6.64,73.0,5.67,82.45400000000006,82.45400000000006
139,saint-pierre,78,51,2.6,55.48,-21.34,76.19000000000003,80.6
140,gravdal,69,75,13.85,13.5,68.12,37.4,37.4
141,tyukalinsk,99,5,2.34,72.2,55.87,-10.119999999999962,-10.119999999999962
142,ribeira grande,82,40,9.3,-28.7,38.52,64.4,64.4
143,bambous virieux,88,40,1.5,57.76,-20.34,80.76200000000006,80.99600000000005
144,slave lake,70,1,7.7,-114.77,55.28,-5.799999999999947,-5.799999999999947
145,sojat,37,9,3.83,73.67,25.92,52.08800000000005,52.08800000000005
146,alofi,83,75,3.6,-169.92,-19.06,82.4,82.4
147,bundaberg,83,40,4.6,152.35,-24.85,81.71600000000001,82.99400000000009
148,ulladulla,100,20,1.0,150.47,-35.35,66.29000000000002,69.00800000000001
149,sitka,90,90,8.7,-135.33,57.05,35.041999999999994,39.2
150,road town,78,40,6.2,-64.62,18.42,78.36800000000008,80.6
151,airai,72,0,2.41,125.41,-8.93,66.56000000000009,66.56000000000009
152,bhander,69,0,0.59,78.75,25.73,51.62000000000006,51.62000000000006
153,ramnagar,70,0,1.77,79.12,29.4,47.26400000000003,47.26400000000003
154,kurayoshi,70,75,2.6,133.82,35.43,44.6,44.6
155,vila franca do campo,88,40,6.7,-25.43,37.72,62.6,62.6
156,barmer,35,100,4.4,71.38,25.75,58.190000000000026,58.190000000000026
157,clyde river,74,20,3.1,-68.59,70.47,-25.59999999999995,-25.59999999999995
